,createTime,textExtra_en,desc_en
0,2023-09-13 18:57:03,,"My interview this evening on ""Cinque Minuti"", on Rai 1."
1,2023-09-12 16:05:41,,"We are giving the Nation a strategy that it hasn't had for years, a pride that it had forgotten and a stability that is the basis of any real change possible. This is just the beginning."
2,2023-09-11 09:02:24,g20,"Thank you India, congratulations on the success of the #G20."
3,2023-09-03 07:28:10,,"41 years after the brutal mafia attack that caused the death of the Carabinieri General Carlo Alberto Dalla Chiesa, his wife Emanuela Setti Carraro and the escort agent Domenico Russo, the commitment to eradicate all forms of organized crime. Our deepest thanks and respect go to General Dalla Chiesa, an example of integrity and courage, and to all the servants of the State who fell fighting to free Italy from the cancer of the mafia. Your fight is ours and we will never back down."
4,2023-08-12 06:05:11,,Minimum wage: press point after the meeting with the opposition.
5,2023-08-10 16:45:43,giorgia's notes,"Minimum wage: I will explain the critical issues and what we intend to do, also involving the opposition, to present a serious, shared proposal that truly improves the conditions of workers without harming others. #gliappuntidigiorgia"
6,2023-08-10 09:22:06,giorgia's notes,Taxation on banks' unfair margins. A common sense measure that allows us to help Italian families and businesses in difficulty. #gliappuntidigiorgia
7,2023-08-09 20:02:33,giorgia's notes,"The new rules on citizenship income are starting to come into force in recent days. It is good to clarify this topic, especially after the controversy and the many falsehoods that have been told. The Government does not intend to retrace its steps: our great objective is to move from citizenship income to employment income, the one obtained thanks to work. #gliappuntidigiorgia"
8,2023-08-02 10:35:09,,"There is nothing I want to say to those who criticize me, I think it is their right. The only way I like to answer is with results. So I act, I do what I think is right for my Nation, for the interests of my Nation."
9,2023-07-30 16:24:12,,"Whatever the international forum, Italy will always present itself with its head held high. National interest is the only beacon that guides our action."
10,2023-07-29 10:40:04,,"The excellent results of the mission in the U.S.A. brings great satisfaction and a renewed interest in Italy in the world. Our nations are deeply linked by common values ​​and roots: history, culture, identity, up to commercial and industrial relations. We are determined to strengthen our cooperation in order to better address the challenges that await us."
11,2023-07-27 22:44:53,,"Washington: statements to the press at the end of the meeting with the Speaker of the House of Representatives, Kevin McCarthy."
12,2023-07-26 14:27:42,,The fires and weather disasters of recent days are putting Italy to the test. The Government has deployed all the means at its disposal and we are investigating the state of emergency requests made by the affected Regions to decide on the first resources. We are working to provide immediate and effective answers.
13,2023-07-23 14:28:34,,"Launch a shared path capable of implementing concrete measures for the growth and development of the wider Mediterranean and Africa, to address the root causes of irregular flows and to defeat the criminal activity of human traffickers. Animated by this spirit, we are honored to host the International Conference on Development and Migration today in Rome."
14,2023-07-19 17:24:29,,"We are waiting for you in Italy, Zaki"
15,2023-07-18 13:11:16,,"Very satisfied with the Memorandum of Understanding signed between Tunisia and the EU and with Italy's fundamental role in its success. The agreement is based on five pillars: macro-financial assistance, strengthening economic relations, energy cooperation, combating illegal immigration and promoting people-to-people contacts. It is only the beginning of a path that can allow a collaboration different from that of the past, based on strong international relations that allow us to achieve common results."
16,2023-07-11 09:27:53,,"Among the various measures we are implementing to give concrete and incisive support to the families most affected by the crisis, and in general by high prices, today we present the ""Dedicated to you"" card for the purchase of basic necessities. The government is there and is ready to do its part to help Italians as best as possible. My video message for the presentation press conference."
17,2023-07-03 19:14:52,ecological transition,"The #ecologicaltransition is important, but we cannot dismantle our economy in pursuit of it. It must be done wisely, going hand in hand with social and economic sustainability."
18,2023-06-29 10:16:43,,"With all due respect to those who predicted catastrophes of all sorts, we are building a strong and credible nation on an international level. An Italy capable of asserting its interests and protecting the needs of its citizens."
19,2023-06-26 17:49:06,,"World Day Against Drugs: during my speech in the Hall of Parliamentary Groups of the Chamber of Deputies, the protest of some left-wing parliamentarians in favor of legalization. Also respecting the millions of Italians who have chosen our policies with their vote, we will move forward with conviction and determination."
20,2023-06-22 13:26:10,,Defense of religious freedom: Italy can and must set an example.
21,2023-06-21 05:49:53,,Good luck to all graduates!
22,2023-06-14 14:18:09,,Thanks Silvio. We won't forget you.
23,2023-06-12 16:23:48,,"The attacks never unsettled him. To those who, even today, are pouring hatred towards him, he would have responded as usual with a smile and a joke. We will remember him like this."
24,2023-06-12 10:09:33,,"To God, Silvio."
25,2023-06-06 17:59:21,,Does the left accuse the government of authoritarianism? The truth is that I'm a little short on arguments and in just over 6 months we have dismantled their entire catastrophist narrative.
